_index,fecha,¿Cuántos años cumplidos tiene?,Cuál es su género?,Grupo étnico,Víctima del conflicto,RUV,Tipo de discapacidad,¿Cuenta con SISBEN?,¿Cuál es el parentesco suyo con el jefe o jefa del hogar en su vivienda?,¿Dónde queda ubicada su vivienda?,¿En qué barrio vive?,Escriba el nombre del barrio que NO se encuentra en la lista...180,¿En qué corregimiento o vereda reside?,¿En qué departamento queda ubicado el municipio?,Seleccione un municipio de: Bolívar...,Hora de Apertura del Comercio,Hora Cierre del Comercio,¿Cuántos trabajadores tiene?,¿Cuántos trabajadores extranjeros tiene?,"En su mayoría, ¿qué tipo de contrato tienen sus trabajadores?","En su mayoría, ¿los contratos de trabajo son a término indefinido o a término fijo?",¿Tiene registro ante la Cámara de Comercio?,¿Su registro ante la Cámara de Comercio está actualizado a 2021?,¿Cuál es la Actividad Económica Principal (Código CIIU) que aparece en su Cámara de Comercio?,¿Tiene registro ante la DIAN (RUT)?,"Otro, ¿cuál?...","Se dedica usted al comercio al por mayor, al comercio al por menor o ambos","En un día promedio, ¿cuánto invierte en mercancía?...",Tipo de producto/servicio,País,Municipio,Departamento,Eres_Cartagenero,motivo_de_cambio,Afiliación a EPS,Medio de transporte,Nivel de escolaridad,seguridad social sin salud,Manejo de basuras
2193,06/30/2021 12:00:00 AM,20,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,"Hijo(a), hijastro(a)",En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,17:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,60000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Jeep Colectivo,Básica completa,Afiliado,La recoge el servicio de aseo
2194,06/30/2021 12:00:00 AM,56,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La María,NS/NR,NS/NR,NS/NR,NS/NR,04:00:00.000-05:00,12:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Fritos y jugos,Comercio al por menor,130000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Básica completa,Afiliado,La pone en los colectores de basura o canecas
2195,06/30/2021 12:00:00 AM,61,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,15:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Arregla y limpia pescados,Comercio al por menor,30000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Contributivo,Bus/Buseta urbana,Primaria incompleta,Afiliado,La recoge el servicio de aseo
2196,06/30/2021 12:00:00 AM,38,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Nelson Mandela,NS/NR,NS/NR,NS/NR,NS/NR,15:00:00.000-05:00,11:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,2000000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,NS/NR,Taxi Colectivo,Primaria incompleta,Afiliado,La recoge el servicio de aseo
2197,06/30/2021 12:00:00 AM,45,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La Candelaria,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,11:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1300000.0,Carnes,NS/NR,NS/NR,Córdoba,"No, nací en otro municipio",NS/NR,Subsidiado,A pie,Básica completa,Afiliado,La recoge el servicio de aseo
2198,06/30/2021 12:00:00 AM,26,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,"Hijo(a), hijastro(a)",En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,11:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1500000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Técnico o tecnológico,Afiliado,La recoge el servicio de aseo
2199,06/30/2021 12:00:00 AM,58,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Daniel Lemaitre,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,11:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1500000.0,Carnes,NS/NR,NS/NR,Magdalena,"No, nací en otro municipio",NS/NR,No afiliado,A pie,Primaria incompleta,Afiliado,La recoge el servicio de aseo
2200,06/30/2021 12:00:00 AM,33,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Barrio Chino,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,11:19:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1000000.0,Carnes,NS/NR,NS/NR,Atlántico,"No, nací en otro municipio",NS/NR,Subsidiado,A pie,Básica completa,Afiliado,La recoge el servicio de aseo
2201,06/30/2021 12:00:00 AM,56,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La María,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,13:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,230000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Bicicleta,Básica completa,Afiliado,La recoge el servicio de aseo
2202,06/30/2021 12:00:00 AM,39,Masculino,Raizal del archipiélago (lealo completo. Tiene a confundirse),0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona rural de Cartagena,Boston,NS/NR,Bayunca,NS/NR,NS/NR,04:00:00.000-05:00,14:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,150000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Bus/Buseta urbana,NS/NR,No afiliado,La pone en los colectores de basura o canecas
2203,06/30/2021 12:00:00 AM,37,Femenino,Raizal del archipiélago (lealo completo. Tiene a confundirse),0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La María,NS/NR,NS/NR,NS/NR,NS/NR,05:30:00.000-05:00,18:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,150000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Básica completa,No afiliado,La recoge el servicio de aseo
2204,06/30/2021 12:00:00 AM,43,Femenino,Raizal del archipiélago (lealo completo. Tiene a confundirse),0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La María,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,19:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,150000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,NS/NR,Taxi Colectivo,Básica completa,No afiliado,La pone en los colectores de basura o canecas
2205,06/30/2021 12:00:00 AM,50,Masculino,Raizal del archipiélago (lealo completo. Tiene a confundirse),0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,15:30:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,500000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,No afiliado,Mototaxi,Básica completa,No afiliado,La pone en los colectores de basura o canecas
2206,06/30/2021 12:00:00 AM,29,Masculino,Raizal del archipiélago (lealo completo. Tiene a confundirse),0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,22:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,2000000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Contributivo,Taxi Colectivo,Básica completa,No afiliado,La recoge el servicio de aseo
2207,06/30/2021 12:00:00 AM,39,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,"Pareja, esposo(a), cónyuge, compañero(a)",En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,19:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,300000.0,Productos agrícolas,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,A pie,Universitario,No afiliado,La recoge el servicio de aseo
2208,06/30/2021 12:00:00 AM,40,Masculino,Raizal del archipiélago (lealo completo. Tiene a confundirse),0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,09:30:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1000000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,NS/NR,Mototaxi,Básica completa,No afiliado,La recoge un servicio informal
2209,06/30/2021 12:00:00 AM,21,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,03:30:00.000-05:00,11:30:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,2000000.0,Carnes,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Mototaxi,Bachiller,No afiliado,La recoge el servicio de aseo
2210,06/30/2021 12:00:00 AM,55,Masculino,Raizal del archipiélago (lealo completo. Tiene a confundirse),0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,09:30:00.000-05:00,4,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,3000000.0,Carnes,NS/NR,NS/NR,La Guajira,"No, nací en otro municipio",NS/NR,No afiliado,A pie,Básica completa,No afiliado,La recoge un servicio informal
2211,06/30/2021 12:00:00 AM,27,Masculino,Raizal del archipiélago (lealo completo. Tiene a confundirse),0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,03:30:00.000-05:00,10:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,3000000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,No afiliado,Taxi Colectivo,Básica completa,No afiliado,La recoge un servicio informal
2212,06/30/2021 12:00:00 AM,44,Masculino,Afrodescendiente o negro,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La Quinta,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,13:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,NS/NR,NS/NR,Comercio al por menor,1200000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Básica completa,No afiliado,La recoge el servicio de aseo
2213,06/30/2021 12:00:00 AM,46,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Boston,NS/NR,NS/NR,NS/NR,NS/NR,04:00:00.000-05:00,15:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,NS/NR,NS/NR,Ambos,2000000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Bachiller,Afiliado,La recoge el servicio de aseo
2214,06/30/2021 12:00:00 AM,37,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,"Pareja, esposo(a), cónyuge, compañero(a)",En la zona urbana de Cartagena,Fredonia,NS/NR,NS/NR,NS/NR,NS/NR,07:00:00.000-05:00,13:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,15000.0,Solo ofrezco servicios.,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Mototaxi,Bachiller,No afiliado,La pone en los colectores de basura o canecas
2215,06/30/2021 12:00:00 AM,29,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,"Pareja, esposo(a), cónyuge, compañero(a)",Fuera de Cartagena. ¿Dónde?,La María,NS/NR,NS/NR,Bolívar,Santa Rosa,04:00:00.000-05:00,12:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",Trabajo,No afiliado,Bus/Buseta intermunicipal,Bachillerato completo,No afiliado,La pone en los colectores de basura o canecas
2216,06/30/2021 12:00:00 AM,40,Femenino,Afrodescendiente o negro,1,SI,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,07:00:00.000-05:00,18:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,160000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Bus/Buseta intermunicipal,Básica completa,No afiliado,La recoge el servicio de aseo
2217,06/30/2021 12:00:00 AM,62,Masculino,Afrodescendiente o negro,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Fredonia,NS/NR,NS/NR,NS/NR,NS/NR,04:00:00.000-05:00,12:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Arreglador de pescados,Comercio al por menor,150000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Jeep Colectivo,Primaria incompleta,No afiliado,La recoge el servicio de aseo
2218,06/30/2021 12:00:00 AM,59,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,19:00:00.000-05:00,13:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Arreglador de Pescados,Comercio al por menor,100000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Primaria incompleta,No afiliado,La recoge el servicio de aseo
2219,06/30/2021 12:00:00 AM,40,Masculino,Afrodescendiente o negro,0,NO,Física,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Chiquinquirá,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,10:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Arreglador de pescados,Comercio al por menor,500000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Jeep Colectivo,Bachiller,Afiliado,La recoge el servicio de aseo
2220,06/30/2021 12:00:00 AM,55,Masculino,Ninguno de los anteriores,1,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,03:30:00.000-05:00,11:00:00.000-05:00,1,1.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,2000000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Contributivo,Mototaxi,Bachiller,Afiliado,La pone en los colectores de basura o canecas
2221,06/30/2021 12:00:00 AM,51,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,03:30:00.000-05:00,10:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,100000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo
2222,06/30/2021 12:00:00 AM,28,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,13:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1000000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo
2223,06/30/2021 12:00:00 AM,53,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,"Pareja, esposo(a), cónyuge, compañero(a)",En la zona urbana de Cartagena,Boston,NS/NR,NS/NR,NS/NR,NS/NR,03:30:00.000-05:00,09:00:00.000-05:00,1,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1500000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo
2224,06/30/2021 12:00:00 AM,23,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Otro pariente,En la zona urbana de Cartagena,La Candelaria,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,13:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,10000.0,Productos de tabaco,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,A pie,Básica completa,No afiliado,No produce basura
2225,06/30/2021 12:00:00 AM,48,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Alcibia,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,18:30:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,NS/NR,NS/NR,Comercio al por menor,150000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Bus/Buseta urbana,Básica completa,No afiliado,La pone en los colectores de basura o canecas
2226,06/30/2021 12:00:00 AM,21,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La Esperanza,NS/NR,NS/NR,NS/NR,NS/NR,05:30:00.000-05:00,18:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,NS/NR,NS/NR,Comercio al por menor,300000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Básica completa,Afiliado,La pone en los colectores de basura o canecas
2227,06/30/2021 12:00:00 AM,39,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Barrio Chino,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,15:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,15000.0,Artículos y utensilios de uso doméstico,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,Subsidiado,Taxi Colectivo,Bachiller,No afiliado,La pone en los colectores de basura o canecas
2228,06/30/2021 12:00:00 AM,40,Masculino,Ninguno de los anteriores,0,NO,Física,NO,Otro pariente,En la zona urbana de Cartagena,La María,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,12:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Servicio de escamador,Comercio al por menor,0.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria completa,No afiliado,La recoge el servicio de aseo
2229,06/30/2021 12:00:00 AM,45,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Barrio Chino,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,11:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,500000.0,Carnes,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Mototaxi,Básica completa,No afiliado,La pone en los colectores de basura o canecas
2230,06/30/2021 12:00:00 AM,27,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,11:00:00.000-05:00,1,1.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1000000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Bachiller,Afiliado,La recoge el servicio de aseo
2231,06/30/2021 12:00:00 AM,55,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,02:30:00.000-05:00,10:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,NS/NR,NS/NR,Comercio al por menor,1350000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo
2232,06/30/2021 12:00:00 AM,48,Masculino,Ninguno de los anteriores,0,NO,Visual,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La María,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,08:30:00.000-05:00,2,1.0,Verbal,Sin información,NS/NR,NO,NS/NR,NS/NR,NS/NR,Ambos,30000000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Básica completa,No afiliado,La recoge el servicio de aseo
2233,06/30/2021 12:00:00 AM,44,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Boston,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,20:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,NS/NR,20000.0,Solo ofrezco servicios.,NS/NR,NS/NR,San Andrés y Providencia,"No, nací en otro municipio",NS/NR,No afiliado,Taxi Colectivo,Primaria incompleta,No afiliado,La pone en los colectores de basura o canecas
2234,06/30/2021 12:00:00 AM,53,Femenino,Palenquero,1,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Nelson Mandela,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,18:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,100000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Primaria incompleta,No afiliado,La recoge el servicio de aseo
2235,06/30/2021 12:00:00 AM,53,Masculino,Palenquero,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Las Delicias,NS/NR,NS/NR,NS/NR,NS/NR,02:00:00.000-05:00,14:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,"Arepa asada, jugos naturales y yuca y huevos preparados",Comercio al por menor,150000.0,Solo ofrezco servicios.,NS/NR,NS/NR,Córdoba,"No, nací en otro municipio",NS/NR,Subsidiado,A pie,NS/NR,No afiliado,La pone en los colectores de basura o canecas
2236,06/30/2021 12:00:00 AM,40,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,07:30:00.000-05:00,13:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,10000.0,Solo ofrezco servicios.,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Mototaxi,Bachiller,No afiliado,La recoge el servicio de aseo
2237,06/30/2021 12:00:00 AM,23,Femenino,Afrodescendiente o negro,1,SI,Sin discapacidad,NS/NR,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,21:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,500000.0,Productos agrícolas,NS/NR,NS/NR,Antioquia,"No, nací en otro municipio",NS/NR,NS/NR,A pie,Bachiller,No afiliado,La recoge el servicio de aseo
2238,06/30/2021 12:00:00 AM,50,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Barrio Chino,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,09:45:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Venta de pescado,Comercio al por menor,150000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Primaria incompleta,No afiliado,La pone en los colectores de basura o canecas
2239,06/30/2021 12:00:00 AM,66,Masculino,Afrodescendiente o negro,1,SI,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Barrio Chino,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,18:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,300000.0,Productos agrícolas,NS/NR,NS/NR,Sucre,"No, nací en otro municipio",NS/NR,Subsidiado,Taxi Colectivo,Primaria incompleta,Afiliado,La pone en los colectores de basura o canecas
2240,06/30/2021 12:00:00 AM,25,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Barrio Chino,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,12:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,5000.0,Solo ofrezco servicios.,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,A pie,Básica completa,No afiliado,La pone en los colectores de basura o canecas
